"Sex" "Age" "startAge" "digRe" "Dtot" "PYtot" "mx"
"1" 51 51 0 164 53308.06707 0.00307645744845049
"1" 51 51 1 25 9019.67762 0.00277171768806522
"1" 51 51 2 22 7570.14236 0.00290615406603793
"1" 51 51 3 73 18122.6598 0.00402810629375717
"1" 51 51 4 60 12455.53939 0.00481713381663514
"1" 51 51 6 83 16297.17934 0.00509290585005
"1" 51 51 7 289 69324.5017 0.00416880024973912
"1" 51 51 90 6 3506.92746 0.00171089937514704
"1" 51 51 91 50 7745.27309 0.00645555029745246
"1" 51 51 99 71 9837.22108 0.00721748544864461
"1" 52 51 0 188 53130.97191 0.00353842576639589
"1" 52 51 1 22 8996.11909 0.00244549897349125
"1" 52 51 2 29 7547.11774 0.00384252651131954
"1" 52 51 3 72 18049.84323 0.00398895431292896
"1" 52 51 4 47 12399.97809 0.00379032927791246
"1" 52 51 6 70 16219.84257 0.00431570156725633
"1" 52 51 7 369 69004.284 0.00534749407732424
"1" 52 51 90 13 3496.71869 0.00371777118850816
"1" 52 51 91 35 7705.86381 0.00454199566239155
"1" 52 51 99 83 9761.71525 0.00850260408896889
"1" 53 51 0 182 52941.12111 0.00343778137266576
"1" 53 51 1 23 8974.11089 0.00256292799163305
"1" 53 51 2 46 7507.95275 0.00612683663998818
"1" 53 51 3 66 17976.74809 0.00367140929324776
"1" 53 51 4 48 12348.65706 0.00388706235558865
"1" 53 51 6 90 16139.00204 0.00557655298493289
"1" 53 51 7 335 68647.24229 0.00488002123355216
"1" 53 51 90 16 3481.82752 0.00459528793660635
"1" 53 51 91 39 7666.79329 0.00508687250651048
"1" 53 51 99 88 9670.98834 0.00909938021908524
"1" 54 51 0 210 52746.81863 0.00398128276651289
"1" 54 51 1 38 8945.7967 0.00424780500545021
"1" 54 51 2 42 7465.77615 0.0056256709491618
"1" 54 51 3 70 17912.86586 0.00390780573846155
"1" 54 51 4 61 12300.71803 0.00495906010130695
"1" 54 51 6 98 16051.57699 0.00610531912603062
"1" 54 51 7 402 68285.0089 0.00588709010185104
"1" 54 51 90 15 3465.27378 0.00432866230846557
"1" 54 51 91 45 7625.21631 0.00590147192821078
"1" 54 51 99 76 9590.85695 0.00792421369604517
"1" 55 51 0 231 52525.99996 0.00439782203434324
"1" 55 51 1 37 8907.77892 0.00415367291131648
"1" 55 51 2 37 7425.50787 0.00498282415799258
"1" 55 51 3 93 17833.58591 0.00521487941176492
"1" 55 51 4 68 12234.11841 0.00555822640595155
"1" 55 51 6 99 15944.69132 0.00620896309706672
"1" 55 51 7 445 67855.6427 0.00655803971922294
"1" 55 51 90 21 3449.15469 0.00608844829745806
"1" 55 51 91 52 7577.6804 0.00686225827101391
"1" 55 51 99 121 9492.36275 0.0127470897590803
"1" 56 51 0 251 52287.95885 0.00480034037511487
"1" 56 51 1 44 8865.30595 0.0049631676840211
"1" 56 51 2 47 7383.09035 0.00636589798741932
"1" 56 51 3 93 17741.82549 0.00524185067948157
"1" 56 51 4 84 12157.92671 0.00690907273942598
"1" 56 51 6 120 15843.10951 0.00757427068999664
"1" 56 51 7 465 67393.99586 0.00689972443488826
"1" 56 51 90 20 3428.58726 0.00583330639804104
"1" 56 51 91 62 7522.24574 0.00824221943060318
"1" 56 51 99 109 9375.92886 0.0116255148292582
"1" 56 56 0 229 42613.85558 0.00537383902214839
"1" 56 56 1 36 7561.76933 0.00476079055429214
"1" 56 56 2 55 7617.34288 0.00722036553512739
"1" 56 56 3 95 15581.846 0.00609683859024149
"1" 56 56 4 85 13993.58247 0.0060742129602785
"1" 56 56 6 111 15410.03084 0.00720310044493071
"1" 56 56 7 499 61655.52766 0.00809335381495298
"1" 56 56 90 16 3005.36207 0.00532381777214617
"1" 56 56 91 54 7619.26697 0.00708729595807824
"1" 56 56 99 110 8815.17245 0.0124784853187983
"1" 57 51 0 274 52024.18076 0.00526678163879269
"1" 57 51 1 45 8818.13962 0.00510311720376231
"1" 57 51 2 57 7330.87812 0.00777533046750476
"1" 57 51 3 99 17644.54823 0.00561079823124494
"1" 57 51 4 87 12069.42988 0.00720829408389587
"1" 57 51 6 106 15726.84393 0.00674006815809992
"1" 57 51 7 530 66899.94519 0.00792227853841684
"1" 57 51 90 12 3412.7762 0.00351619892332817
"1" 57 51 91 56 7462.74947 0.00750393674946722
"1" 57 51 99 104 9274.23137 0.0112138673115722
"1" 57 56 0 249 42378.41007 0.00587563336115502
"1" 57 56 1 35 7526.44147 0.00465027199633561
"1" 57 56 2 54 7563.94656 0.0071391302902066
"1" 57 56 3 87 15492.74684 0.00561553098998421
"1" 57 56 4 99 13900.71599 0.00712193530687335
"1" 57 56 6 115 15294.44836 0.00751906818037078
"1" 57 56 7 497 61149.23482 0.00812765689485695
"1" 57 56 90 15 2989.97947 0.00501675685418669
"1" 57 56 91 65 7557.82822 0.00860035424303412
"1" 57 56 99 141 8693.92813 0.0162182155053081
"1" 58 51 0 261 51755.18892 0.00504297260712231
"1" 58 51 1 49 8775.92332 0.00558345808335983
"1" 58 51 2 47 7278.65914 0.00645723327552333
"1" 58 51 3 93 17543.03971 0.00530124776192506
"1" 58 51 4 76 11988.56673 0.00633937331389405
"1" 58 51 6 129 15608.65024 0.00826464800072296
"1" 58 51 7 566 66341.50588 0.00853161218594877
"1" 58 51 90 25 3394.27995 0.00736533237336537
"1" 58 51 91 62 7403.20263 0.00837475388675131
"1" 58 51 99 93 9169.72281 0.0101420732040645
"1" 58 56 0 263 42117.97462 0.00624436484358184
"1" 58 56 1 37 7493.99795 0.00493728451046614
"1" 58 56 2 57 7505.7584 0.00759416929806853
"1" 58 56 3 109 15387.42433 0.00708370664656909
"1" 58 56 4 76 13819.32173 0.00549954632252418
"1" 58 56 6 115 15172.62355 0.0075794406696395
"1" 58 56 7 568 60620.28551 0.00936980080547958
"1" 58 56 90 14 2975.5106 0.00470507481976371
"1" 58 56 91 68 7490.04788 0.00907871365970494
"1" 58 56 99 135 8552.54557 0.0157847741231036
"1" 59 51 0 294 51479.91854 0.00571096474776978
"1" 59 51 1 50 8727.4237 0.00572906755976566
"1" 59 51 2 55 7228.56606 0.00760870130306314
"1" 59 51 3 108 17450.01984 0.00618910471106949
"1" 59 51 4 68 11920 0.00570469798657718
"1" 59 51 6 127 15484.64338 0.00820167419315794
"1" 59 51 7 614 65768.71734 0.00933574539436198
"1" 59 51 90 24 3370.60442 0.00712038465789468
"1" 59 51 91 82 7329.13549 0.0111882226917325
"1" 59 51 99 119 9069.42573 0.0131210071665695
"1" 59 56 0 263 41855.71734 0.00628349044560898
"1" 59 56 1 48 7446.00204 0.00644641241597081
"1" 59 56 2 73 7434.04175 0.00981969195962613
"1" 59 56 3 117 15278.97123 0.00765758363169586
"1" 59 56 4 97 13729.74194 0.0070649543468404
"1" 59 56 6 168 15037.82683 0.011171827013252
"1" 59 56 7 592 60039.33271 0.00986020285834053
"1" 59 56 90 34 2953.55305 0.0115115589340777
"1" 59 56 91 84 7409.94387 0.0113361182586124
"1" 59 56 99 131 8414.79195 0.0155678239911802
"1" 60 51 0 335 51165.01844 0.00654744218245219
"1" 60 51 1 52 8670.38465 0.00599742711530105
"1" 60 51 2 56 7168.79673 0.00781163172972265
"1" 60 51 3 144 17324.42643 0.00831196349165367
"1" 60 51 4 102 11830.36139 0.00862188369716405
"1" 60 51 6 142 15342.3073 0.00925545273102436
"1" 60 51 7 612 65153.01981 0.00939327143676105
"1" 60 51 90 23 3345.88774 0.00687410988869579
"1" 60 51 91 69 7251.94522 0.00951468852932124
"1" 60 51 99 135 8938.57696 0.0151030751991198
"1" 60 56 0 317 41575.35865 0.00762470872876042
"1" 60 56 1 43 7401.14852 0.00580990908151645
"1" 60 56 2 67 7371.38054 0.00908920651110491
"1" 60 56 3 134 15153.94253 0.00884258335642507
"1" 60 56 4 110 13622.45175 0.00807490472484147
"1" 60 56 6 167 14865.25805 0.0112342483015288
"1" 60 56 7 667 59419.60449 0.0112252514254324
"1" 60 56 90 21 2924.48868 0.00718074244691554
"1" 60 56 91 78 7330.01095 0.0106411846492535
"1" 60 56 99 128 8285.80966 0.0154480980438066
"1" 61 51 0 358 50826.82278 0.00704352506056842
"1" 61 51 1 52 8621.71664 0.00603128149198835
"1" 61 51 2 63 7112.90763 0.008857137372948
"1" 61 51 3 128 17187.04925 0.0074474680405073
"1" 61 51 4 123 11723.97533 0.010491321973807
"1" 61 51 6 163 15191.4887 0.0107296923441084
"1" 61 51 7 693 64497.79597 0.0107445531987223
"1" 61 51 90 30 3315.12523 0.00904943189732835
"1" 61 51 91 94 7168.21905 0.0131134385464964
"1" 61 51 99 109 8823.62696 0.0123531967629783
"1" 61 56 0 365 41222.9438 0.00885429244866302
"1" 61 56 1 53 7356.75016 0.00720426803239435
